Vext,Jext,Gfrac
-0.85,-25.6,0.1
-0.84,-25.6,0.1
-0.83,-25.6,0.1
-0.82,-25.6,0.1
-0.81,-25.6,0.1
-0.8,-25.6,0.1
-0.79,-25.6,0.1
-0.78,-25.6,0.1
-0.77,-25.5,0.1
-0.76,-25.5,0.1
-0.75,-25.5,0.1
-0.74,-25.5,0.1
-0.73,-25.5,0.1
-0.72,-25.6,0.1
-0.71,-25.6,0.1
-0.7,-25.6,0.1
-0.69,-25.6,0.1
-0.68,-25.7,0.1
-0.67,-25.7,0.1
-0.66,-25.6,0.1
-0.65,-25.6,0.1
-0.64,-25.6,0.1
-0.63,-25.6,0.1
-0.62,-25.6,0.1
-0.61,-25.6,0.1
-0.6,-25.6,0.1
-0.59,-25.5,0.1
-0.58,-25.5,0.1
-0.57,-25.5,0.1
-0.56,-25.5,0.1
-0.55,-25.4,0.1
-0.54,-25.4,0.1
-0.53,-25.4,0.1
-0.52,-25.4,0.1
-0.51,-25.5,0.1
-0.5,-25.5,0.1
-0.49,-25.5,0.1
-0.48,-25.5,0.1
-0.47,-25.5,0.1
-0.46,-25.4,0.1
-0.45,-25.4,0.1
-0.44,-25.4,0.1
-0.43,-25.3,0.1
-0.42,-25.3,0.1
-0.41,-25.4,0.1
-0.4,-25.4,0.1
-0.39,-25.4,0.1
-0.38,-25.4,0.1
-0.37,-25.5,0.1
-0.36,-25.5,0.1
-0.35,-25.4,0.1
-0.34,-25.4,0.1
-0.33,-25.4,0.1
-0.32,-25.4,0.1
-0.31,-25.4,0.1
-0.3,-25.5,0.1
-0.29,-25.5,0.1
-0.28,-25.5,0.1
-0.27,-25.5,0.1
-0.26,-25.5,0.1
-0.25,-25.5,0.1
-0.24,-25.5,0.1
-0.23,-25.5,0.1
-0.22,-25.4,0.1
-0.21,-25.4,0.1
-0.2,-25.4,0.1
-0.19,-25.4,0.1
-0.18,-25.4,0.1
-0.17,-25.3,0.1
-0.16,-25.3,0.1
-0.15,-25.2,0.1
-0.14,-25.2,0.1
-0.13,-25.2,0.1
-0.12,-25.2,0.1
-0.11,-25.2,0.1
-0.1,-25.2,0.1
-0.09,-25.2,0.1
-0.08,-25.2,0.1
-0.07,-25.2,0.1
-0.06,-25.2,0.1
-0.05,-25.2,0.1
-0.04,-25.2,0.1
-0.03,-25.2,0.1
-0.02,-25.2,0.1
-0.01,-25.1,0.1
0,-25.1,0.1
0.01,-25.1,0.1
0.02,-25.1,0.1
0.03,-25.1,0.1
0.04,-25.1,0.1
0.05,-25.1,0.1
0.06,-25,0.1
0.07,-25,0.1
0.08,-25.1,0.1
0.09,-25,0.1
0.1,-25,0.1
0.11,-25,0.1
0.12,-25,0.1
0.13,-24.9,0.1
0.14,-24.9,0.1
0.15,-25,0.1
0.16,-25,0.1
0.17,-25,0.1
0.18,-25,0.1
0.19,-24.9,0.1
0.2,-24.9,0.1
